matchid,totalGoldA,totalGoldB,destroyedTowersA,destroyedTowersB,destroyedInhibitorsA,destroyedInhibitorsB,dragonsA,dragonsB,baronsA,baronsB,winTeam
BR1_3027169931,69405,73000,7,9,1,1,4,0,1,1,1
BR1_3027137131,53331,36436,10,0,2,0,2,1,0,0,0
BR1_3027123703,56283,45613,10,3,2,0,2,1,1,0,0
BR1_3026690207,64757,52384,10,2,2,0,4,0,1,0,0
BR1_3026669988,51667,38055,10,1,2,0,2,1,1,0,0
BR1_3026577748,64982,75164,4,10,0,2,2,3,0,2,1
BR1_3025545771,74611,83144,5,10,0,3,1,4,0,2,1
BR1_3025514443,47895,32574,9,0,1,0,1,0,0,0,0
BR1_3025168876,42034,52844,4,8,0,1,1,2,0,1,1
BR1_3025154583,59251,63991,5,10,0,2,0,2,1,0,1
BR1_3029977449,56181,50711,8,3,1,0,1,2,0,0,0
BR1_3029657806,65119,57074,10,3,2,0,2,1,1,0,0
BR1_3029608198,70932,58085,11,3,2,0,3,1,1,1,0
BR1_3029589318,57885,51706,8,5,1,0,4,0,1,0,0
BR1_3029567543,57934,63984,3,8,0,1,0,4,0,0,1
BR1_3029549139,58244,51912,8,3,1,0,0,3,1,0,0
BR1_3029398300,85569,74283,11,2,6,0,2,3,3,0,0
BR1_3029069615,65053,52862,10,3,2,0,2,0,1,0,0
BR1_3028914511,46846,57823,2,10,0,2,0,3,0,1,1
BR1_3028907634,44038,57866,2,10,0,2,1,2,0,1,1
BR1_3028905028,73514,70438,9,5,1,0,4,0,0,2,0
BR1_3028219978,65348,70914,6,8,1,1,0,4,0,1,1
BR1_3028156759,53072,59146,4,9,0,2,1,2,0,1,1
BR1_3028081345,61991,71385,4,9,0,2,1,2,0,1,1
BR1_3028049613,57207,49590,10,2,1,0,3,0,0,0,0
BR1_3028006921,52288,48573,8,4,1,0,0,3,1,0,0
BR1_3027933625,66091,57660,9,5,2,0,2,1,1,0,0
BR1_3027905826,69707,57570,10,3,2,0,3,1,1,0,0
BR1_3027884233,49265,57975,4,10,0,1,2,1,0,1,1
BR1_3027829684,56842,46070,10,1,2,0,2,1,1,0,0
BR1_3027228146,106143,102509,7,10,2,6,2,5,3,1,1
BR1_3027166407,64111,60337,8,4,1,0,2,1,1,0,0
BR1_3027156480,53794,42638,8,2,1,0,1,1,1,0,0
BR1_3027138879,67104,59856,9,5,2,0,2,1,1,1,0
BR1_3026985423,63492,59874,8,5,1,0,1,2,1,0,0
BR1_3024189303,62787,50086,10,4,2,0,4,0,1,0,0
BR1_3024184436,55193,43411,9,2,1,0,2,0,1,0,0
BR1_3030214552,71808,74376,7,8,1,1,1,4,0,2,1
BR1_3030187466,72924,75314,8,10,2,2,2,3,1,1,1
BR1_3030126378,58606,45247,10,2,1,0,2,1,1,0,0
BR1_3030104591,61557,52015,9,3,1,0,1,1,1,0,0
BR1_3029553739,60778,49682,11,3,3,0,3,0,1,0,0
BR1_3029514119,53081,62877,2,10,0,2,1,2,0,1,1
BR1_3029398300,85569,74283,11,2,6,0,2,3,3,0,0
BR1_3029092185,55539,42271,11,2,2,0,4,0,1,0,0
BR1_3029069615,65053,52862,10,3,2,0,2,0,1,0,0
BR1_3028882705,79088,67275,11,2,3,0,5,0,1,1,0
BR1_3028366494,61786,62501,4,8,0,2,1,2,1,1,1
BR1_3028345426,46736,57967,4,9,0,2,0,4,0,1,1
BR1_3028216071,57201,49306,9,3,2,0,1,2,1,0,0
BR1_3028088453,73474,69714,8,8,1,1,2,1,0,1,0
BR1_3028006921,52288,48573,8,4,1,0,0,3,1,0,0
BR1_3027774645,38422,47753,1,7,0,1,2,1,0,1,1
BR1_3027738199,72251,73855,10,8,5,1,3,2,1,1,1
BR1_3027615742,55330,56759,6,10,0,1,1,3,0,1,1
BR1_3027590457,57618,49381,9,2,1,0,0,2,1,0,0
BR1_3027566133,54044,65044,3,10,0,2,0,3,0,1,1
BR1_3027352495,70587,76345,4,10,0,2,3,3,1,1,1
BR1_3026493043,80390,79839,8,11,1,3,2,3,2,1,1
BR1_3026455895,50268,62405,4,11,0,3,2,1,0,1,1
BR1_3026420104,51244,61979,3,10,0,1,1,3,0,1,1
BR1_3026376368,71119,67157,10,6,3,0,4,0,1,1,0
BR1_3026325486,67180,78027,4,10,0,2,2,3,1,2,1
BR1_3026286603,61208,68250,4,9,0,1,2,2,1,1,1
BR1_3026220750,50514,66065,2,11,0,1,2,2,0,1,1
BR1_3030554580,74093,83190,7,9,1,1,3,3,0,2,1
BR1_3030284879,65754,57051,11,2,5,0,1,0,2,0,0
BR1_3030098770,68639,77822,6,11,0,1,2,2,0,2,1
BR1_3030068642,39331,52764,1,10,0,2,0,3,0,1,1
BR1_3030028889,54513,42042,10,1,2,0,1,2,1,0,0
BR1_3030007949,66265,73024,7,9,0,3,3,2,0,2,1
BR1_3029997395,65097,64038,8,6,1,1,4,1,0,1,0
BR1_3029779417,53457,41653,11,0,3,0,2,1,1,0,0
BR1_3029575951,56416,40500,10,1,2,0,2,1,1,0,0
BR1_3029553739,60778,49682,11,3,3,0,3,0,1,0,0
BR1_3029532087,61561,70621,3,8,0,1,1,4,0,1,1
BR1_3029036272,46381,36906,9,1,1,0,0,2,0,0,0
BR1_3028235938,59946,45996,9,2,1,0,2,1,0,1,0
BR1_3028220271,60754,60226,7,6,1,0,1,3,1,1,0
BR1_3026680891,58060,44147,11,2,3,0,3,0,1,0,0
BR1_3026662310,66162,58295,9,5,1,0,4,1,1,0,0
BR1_3025797194,47775,59920,3,9,0,1,0,4,0,1,1
BR1_3025769426,53351,40939,11,3,3,0,1,1,1,0,0
BR1_3025662979,74974,71302,9,5,2,0,2,3,1,1,0
BR1_3025629774,41212,50278,1,7,0,1,2,0,0,0,1
BR1_3025572180,65288,73948,4,11,0,5,1,3,0,2,1
BR1_3025258886,54006,62543,3,9,0,1,2,2,0,0,1
BR1_3025241947,58257,52317,10,4,2,0,0,2,0,0,0
BR1_3025220868,77322,75223,9,7,1,1,3,2,0,2,0
BR1_3025164701,54255,49240,8,3,1,0,3,0,1,0,0
BR1_3024638446,55593,68297,1,11,0,3,1,3,0,0,1
BR1_3024624960,68035,81472,4,10,0,1,2,4,0,1,1
BR1_3029206012,41682,49266,3,9,0,1,0,2,0,1,1
BR1_3029105372,50308,61107,3,11,0,2,0,4,0,1,1
BR1_3028622727,56381,46283,11,2,3,0,2,1,1,0,0
BR1_3028582714,70116,82081,6,10,1,2,0,4,1,1,1
BR1_3028553164,44084,53832,3,9,0,1,1,1,0,1,1
BR1_3025357607,44105,52886,4,7,0,1,0,4,0,1,1
BR1_3025036105,54599,41149,10,1,1,0,1,2,1,0,0
BR1_3023789896,61142,56687,8,3,1,0,1,3,0,1,0
BR1_3023532373,57062,52229,10,5,2,0,2,1,0,1,0
BR1_3023043579,86082,81163,10,5,3,0,2,3,2,1,0
BR1_3023031125,67962,63895,8,7,1,0,2,2,1,1,0
BR1_3022319712,51576,36615,10,0,2,0,2,1,0,0,0
BR1_3022307848,60552,53409,11,0,5,0,1,0,0,1,0
BR1_3021460875,65892,56649,8,3,1,0,2,2,1,0,0
BR1_3021432643,76771,71032,10,6,2,1,2,1,1,1,0
BR1_3021365728,45767,36244,8,0,1,0,1,2,1,0,0
BR1_3020500350,55912,38864,10,0,2,0,1,2,1,0,0
BR1_3020042852,78532,71783,11,4,3,0,4,1,1,1,0
BR1_3020033650,49625,62248,2,9,0,1,0,3,0,1,1
BR1_3019774927,57737,65070,3,10,0,2,3,1,1,0,1
BR1_3019758437,56344,40542,10,1,1,0,2,1,1,0,0
BR1_3019737715,64500,52815,9,2,1,0,4,0,1,0,0
BR1_3030559837,65206,56609,10,5,1,0,2,1,1,0,0
BR1_3030542807,69708,75109,6,10,0,1,2,2,0,2,1
BR1_3030527726,65917,59798,8,6,1,0,1,3,1,0,0
BR1_3030028889,54513,42042,10,1,2,0,1,2,1,0,0
BR1_3030007949,66265,73024,7,9,0,3,3,2,0,2,1
BR1_3029981475,65018,50913,11,2,3,0,3,1,1,0,0
BR1_3029977148,55801,42506,9,4,2,0,2,1,1,0,0
BR1_3029477258,75965,75249,6,9,0,3,3,2,1,1,1
BR1_3029147178,34762,49494,0,10,0,2,0,2,0,0,1
BR1_3029109368,88241,85674,11,5,3,0,4,1,2,1,0
BR1_3029084870,74964,75353,9,6,5,1,3,3,2,0,1
BR1_3029068286,60014,60724,7,7,1,0,3,0,1,0,0
BR1_3028964249,67292,56340,11,2,4,0,2,2,1,0,0
BR1_3028950597,62081,50439,9,1,1,0,1,4,1,0,0
BR1_3028911978,62312,71737,5,11,0,1,0,4,0,2,1
BR1_3028553164,44084,53832,3,9,0,1,1,1,0,1,1
BR1_3028513951,74015,75584,5,10,1,2,2,3,1,2,1
BR1_3028360306,45865,54066,2,8,0,1,1,2,0,1,1
BR1_3028338041,71408,66927,9,4,2,0,4,0,2,0,0
BR1_3028321489,30902,41352,1,7,0,1,0,2,0,0,1
